occ_year,occ_month,difference,location,bicycle_status
2014,6,2,Apartment,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Commercial,STOLEN
2014,6,1,Transit,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Transit,STOLEN
2014,5,10,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Educational,STOLEN
2014,6,5,Other,STOLEN
2014,6,0,Educational,STOLEN
2014,6,0,Apartment,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Educational,STOLEN
2014,6,1,House,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Educational,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,6,Outside,STOLEN
2014,6,1,Other,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,UNKNOWN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,5,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,House,STOLEN
2014,6,1,Transit,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Other,STOLEN
2014,6,0,House,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,2,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,5,12,Apartment,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,House,STOLEN
2014,5,17,House,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,5,12,Apartment,STOLEN
2014,5,15,Educational,STOLEN
2014,6,6,Outside,STOLEN
2014,6,0,Apartment,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,0,Educational,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,3,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,House,STOLEN
2014,6,6,Educational,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Educational,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Commercial,STOLEN
2014,6,0,Outside,STOLEN
2014,6,5,Educational,STOLEN
2014,6,5,Educational,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Commercial,STOLEN
2014,6,3,Educational,STOLEN
2014,6,3,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,2,Commercial,STOLEN
2014,6,1,Outside,STOLEN
2014,6,2,Outside,STOLEN
2014,6,8,House,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,House,STOLEN
2014,6,2,Educational,STOLEN
2014,6,4,Outside,STOLEN
2014,6,9,Educational,STOLEN
2014,6,0,Educational,STOLEN
2014,6,1,Outside,STOLEN
2014,4,45,Outside,STOLEN
2014,6,9,Outside,STOLEN
2014,6,1,House,STOLEN
2014,6,2,Educational,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,6,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Other,STOLEN
2014,6,0,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Other,STOLEN
2014,6,1,Apartment,STOLEN
2014,6,1,Educational,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Other,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,1,Other,STOLEN
2014,6,1,Outside,STOLEN
2014,6,2,House,STOLEN
2014,6,0,House,STOLEN
2014,6,1,Other,STOLEN
2014,6,0,Other,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Commercial,STOLEN
2014,6,4,Outside,STOLEN
2014,6,1,Educational,STOLEN
2014,6,1,House,STOLEN
2014,6,5,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Educational,STOLEN
2014,6,1,Other,STOLEN
2014,6,1,House,STOLEN
2014,6,0,House,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,4,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Apartment,STOLEN
2014,6,1,Outside,STOLEN
2014,5,43,Outside,STOLEN
2014,6,1,House,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,UNKNOWN
2014,6,0,Outside,STOLEN
2014,6,2,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Other,STOLEN
2014,6,1,Commercial,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,RECOVERED
2014,6,0,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,14,Outside,STOLEN
2014,6,3,House,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Commercial,STOLEN
2014,5,36,Commercial,STOLEN
2014,6,0,House,STOLEN
2014,6,7,Outside,STOLEN
2014,6,1,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,1,Outside,STOLEN
2014,6,1,Other,STOLEN
2014,6,1,Educational,STOLEN
2014,6,0,House,STOLEN
2014,6,1,House,STOLEN
2014,6,1,House,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,House,STOLEN
2014,6,2,Other,STOLEN
2014,6,1,Outside,STOLEN
2014,6,3,Apartment,STOLEN
2014,6,4,Outside,STOLEN
2014,6,3,Apartment,STOLEN
2014,6,5,House,STOLEN
2014,6,1,Commercial,STOLEN
2014,6,12,Outside,STOLEN
2014,6,3,Outside,UNKNOWN
2014,6,1,Outside,STOLEN
2014,6,5,House,STOLEN
